seed dispersal	is	moved from plant to new environment
hibernation	is used for	resources by animals
circulatory system	carries oxygen from	digestive systems to rest
available water	will decrease as	dryness increases in environment
offspring	receive genes from	their parents through DNA
animal	can survive in	environment with little food
air	is in	water cycle
most chloroplasts	are	found
example	is	chimpanzee digging with stick
animal	will fly more as	weight decreases
object 's temperature	moving object to	place
population	will increase as	number of sources of food increase in environment
cavern	is formed by	acid in groundwater
object 's temperature	moving from	place
amount	is greatest on	summer
ability	has	impact on organism 's survival
arctic environment	is cold at	northern lattitude below 0 degrees celsius during most
insect	lays eggs during	adult stage of insect 's life cycle
blood cell	destroys pathogens in	body
object 's temperature	moving object to	warm place
looseness	has	impact on plant 's roots ' growth
natural events	usually cause	changes to Earth 's surface
seed dispersal	has	positive impact on plant 's reproduction
population	will increase as	available resources increases
arctic environment	is cold at	lattitude below 0 degrees celsius during most of year
characteristic	is	when passed to offspring by DNA
speed	is measure of	how fast object
changes	are made in	response to changes
island	is	formed by lava cooling on ocean floor over time
system	brings oxygen to	rest of body
nervous system	sends observations in	form of signals
moon	is object	closest
water	is brackish in	estuary
water	absorbs energy in	water cycle
moon 's surface	contains	many craters
force	will increase as	mass of object
rainbow	is formed by	splitting light into different colors
exercise	has	positive impact on human 's health
stars	appear in	different areas in sky
chimpanzee digging	is with	stick
amount	will decrease as	mileage per galon of gasoline increases
rest	has	impact on health
crumple	means	change shape from smooth into compacted by force
amount	will increase as	flatness of leaf
example	is	kangaroo 's ability
community	is made of	many types of organisms in area
shale	can	can metamorphosed by increased pressure
object is moving	can cause	that object 's speed increase in forward motion
something	is	material comes directly from source
dense forest environment	is dark in	color
climate	is usual kind of	weather in location
animal	will fly as	weight of animal
chloroplasts	are found in	leaves of plant
something	is	when same color as its environment
object is moving	can cause	that object 's speed
new season	occurs	four times
system	carries oxygen from	digestive systems to rest
characteristic	is	passed from parent to offspring by DNA
plants	live in	bodies of water
water	will decrease as	dryness increases in environment
amount	will decrease as	level of water rises
arctic environment	is cold at	northern lattitude
sunset	will occur later in	day
year	is equal at_time	days
shale	can	can metamorphosed into slate
rocks	are source of	shelter in environment
plant cell	contains	chloroplasts
motion	is	source of kinetic energy in object
tree	is source of	food for animals in ecosystem
sifter	separating	mixtures
female insect	lays eggs during	adult stage of insect 's life cycle
system transfers	oxygen to	system
humans discarding waste	is in	environment
wind	is	inexhaustible
water	is in	solid state for temperatures
changes	are made in	response to changes in environment
summer	is in	northern hemisphere
hibernation	is	inherited
single-cell organism	can survive without	help of other cells
stem	is source of	support for plant
events	cause	changes to Earth 's surface
body part	was	then exposed to lot
digestion	is	when stomach acid breaks down food
mass	is	measure of amount of matter in object
changes	peat through	heat in swamp over long period of time
island	is formed by	lava cooling on ocean floor
slope	is measure of	difference in elevation between one part
coral	lives in	warm water
animal	will fly easily as	weight of animal decreases
crops	is	when planted on field in different years
illness	has	negative impact on organism 's health
example	is strumming	guitar string
object	is in	opposite direction
amount	is greatest in	summer
producer	is source of	energy for consumers
tree-growth rings	will become as	amount of available water decreases
decomposer	recycles	nutrients from dead organisms
range	is measure of	vertical distance
tidal range	is measure of	distance from high tide
warm-weather organisms	live in	warm climates
inherited characteristic	is	passed from parent to offspring
light bulbs	convert electricity into	light energy
sun	is source of	energy for physical cycles
winter solstice	is on	June 21st
environment	is white in	color
range	is measure of	vertical distance from high tide to low tide
carbonic acid	is in	groundwater seeping through rock
canyons	flowing rivers over	long periods of time
two equal forces	is in	opposite directions
Earth 's patterns	finding	locations
webbed feet	moving by	animals
metamorphosis	is stage in	life cycle process
many types	is in	area
aquatic plants	live in	bodies of water
tidal range	is measure of	distance from tide to low tide
hibernation	is used for	resources
water	is in	solid state called for temperatures
nervous system	sends observations in	form of electrical signals
characteristic	is	passed to offspring by genetics
inherited characteristic	is	when passed from parent to offspring by genetics
community	is made of	types of organisms in area
darts	are used anemones for	defense
June	is during	winter
seed dispersal	has	positive impact on plant
population	will increase as	number of sources of food increase
water levels	will increase as	amount in body
characteristic	is	passed from parent to offspring by genetics
crops	is	when planted on field in years
arctic environment	is cold at	lattitude
speed	is measure of	distance
loss	has	impact on organisms in area
arctic environment	is cold at	lattitude below 0 degrees celsius during most
object is moving	can cause	that object 's speed decrease in forward motion
plants	live in	bodies
circulatory system	carries oxygen from	digestive systems
system	sends observations to	rest
island	is	formed by lava cooling over time
inherited characteristic	is	passed from parent by genetics
exercise	has	impact on human 's health
animal	is near	road then might killed by car
seed dispersal	is	moved from plant to environment
range	is measure of	distance to low tide
changes	peat through	extreme heat in swamp over long period of time
example	is bones of	extinct animal
characteristic	is	passed from parent by DNA
tree-growth rings	will become as	amount of water
darts	are used anemones for	defense by sea
living thing	is made of	cells
xylem	carries water from	roots of plant to leaves of plant
poisonous darts	are used anemones for	defense by sea
summer	is in	Southern Hemisphere
Earth	approximately occurs at_time	13 times per year
animals	exhale carbon dioxide from	their lungs into air
themselves	eating	food
metamorphosis	is stage in	life cycle process of animals
circulatory system	brings oxygen to	rest
devices	convert electricity into	other forms of energy
natural gas	is	nonrenewable resource
Earth 's surface	is made of	rock
other mineral	is	then softer
object	is exposed to	source of heat
canyons	flowing over	periods of time
water	can	can used for survival in environment
sandbar	is formed downstream by	water
living things	require water for	survival
birds	sit in	nests
body part	was exposed to	lot of heat energy
island	is	formed by lava released on ocean floor over time
example	is using	material than once
water	will decrease as	dryness increases
seed dispersal	is	when moved from plant to new environment
flower 's purpose	produce	seeds
island	is	formed by lava released over time
animals	live in	bodies of water
chemical splashing	sometimes occurs during	experiments
water	is in	state called for temperatures
heat	change	remains of prehistoric living things into natural gas
humans	usually causes	harm to those animals
object 's temperature	moving to	place
force	will increase as	mass of body increases
respiratory system transfers	oxygen to	system
winter solstice	is on	December 21st
hot something	is source of	heat
conserving water	can	can used for survival in dry environment
water	is in	solid state called
single-cell organism	can survive without	help of cells
forest environment	is often green in	color
force	will increase as	mass of celestial body increases
star	is	source of light through nuclear reactions
range	is measure of	vertical distance from high tide
ethanol	is made of	corn
system	sends observations to	rest of body
object 's temperature	moving	object
canyons	flowing rivers over	periods of time
stars	is in	night sky
amount	will increase as	size of leaf increases
plants	control amount in	their leaves
tidal range	is measure of	distance from tide
plant root	grows into	crack in rock
lightness	is in	color of object
slope	is measure of	difference between one part of land
animal	will fly easily as	weight of animal
ability	has	positive impact on organism 's survival
steam	is kind of	water
feet	moving faster through	water
loss	has	impact in area
desert environment	is low in	availability of water
recycling resources	has	positive impact
example	is using	object more than
most canyons	flowing over	periods
carbohydrates	are	made
object is moving	can cause	that object 's speed
waste product	is In	cellular respiration process carbon dioxide
other mineral	is softer than	that one mineral
inherited characteristic	is	when passed from parent to offspring by DNA
seed dispersal	has	impact on plant
shower	is source of	hot water
characteristic	is	when passed from parent to offspring by genetics
female insect	lays eggs during	adult stage
animal hatches	is	then born
most canyons	flowing rivers over	long periods
chemical splashing	can cause	harm
ocean	is source of	heat for hurricane
producer	is source of	energy
skin	is largest organ in	body
snowy	means	large amount of snow
webbed feet	moving faster by	aquatic animals
vanes	rotating in	fan
hail	fall to	ground
size	will decrease as	source of moves overhead of object
June	is during	summer in hemisphere
object 's temperature	moving from	cool place
atmosphere	is made of	78 % nitrogen
hot plate	is source of	heat
compass	has	needle lines up with magnetic poles
animals	adapt to	their environment
seasonal changes	are made in	response to changes
water	is in	gas state for temperatures
object is moving	can cause	that object 's speed decrease in motion
plant	has	role of producer
amount	increases in	area
example	is turning plant material into	fuel
limestone	is formed by	water evaporating from solution of water
size	will decrease as	source of moves directly overhead of object
water	is in	state
valley	is formed by	river
rainbow	is	formed by refraction of light by splitting light into different colors
water	is in	solid state
animals	distance	themselves
otter	cracking open clams with	rock
seed dispersal	is	when moved to new environment
webbed feet	moving faster by	animals
something	is in	cold place
carbohydrates	are made of	sugars
mass	is measure in	object
battery	is source of	energy
cold environments	are usually white in	color
they	are	when played
water vapor	cools over	night
ability	has	impact on organism 's survival
ocean	contains	amounts of salt water
shale	can	can metamorphosed into slate by increased pressure
paper	is	recyclable
characteristic	is	when passed from parent by DNA
tidal range	is measure of	distance to tide
inherited characteristic	is	passed from parent to offspring by DNA
xylem	carries water from	roots of plant
light bulb	converts energy into	energy
water	is often brackish in	estuary
other mineral	is	then softer than that
stars	appear in	areas in sky
force	will increase as	mass
amount	will decrease as	mileage per galon
January	is during	winter in hemisphere
decomposition	is	when decomposer breaks down dead organisms
hemisphere	is	when tilted away from sun
refracting sunlight	causes	light
liquids	are heated above	their boiling point
cavern	is formed by	carbonic acid in groundwater seeping
animal	will fly more easily as	weight of animal
something	is	material in process required
rest	has	positive impact
insect	lays eggs during	stage of insect 's life cycle
lung	converts from	oxygen into oxygen in blood
transpiration	happens in	leaves of plant
rocks	are source of	shelter for animals in environment
chipmunk	eats	acorns
gills	are	used for breathing water by animals
they	are	when combined
inherited characteristic	is passed from	parent
stage	is in	water cycle process
radio	is used for	communication
temperature	is in	environment
available water	will decrease as	dryness increases
seed dispersal	is	moved to new environment
ability	has	positive impact on organism 's survival
female insect	lays eggs during	stage of insect 's life cycle
bluebirds	live in	spaces
something	is color as	its environment
inherited characteristic	is	passed to offspring by DNA
dairy	is source of	Vitamin D
animal	will fly easily as	weight decreases
body temperature	is in	environment
tree	is source of	food for birds in ecosystem
tuna	eat	fish
quartz	is made of	six-sided transparent crystals
water	can	can used for survival in dry environment
inherited characteristic	is	when copied to offspring by DNA
populations	will increase as	available water increases
producer	is source in	ecosystem
Galileo Galilei	make	observations
range	is measure of	distance to tide
aquatic animals	live in	bodies of water
rain	has	negative impact on water quality
high tide	is stage in	tide cycle process
different crops	is	planted on field in years
most predators	live as	their prey
January	is during	winter
glacier	is made of	ice
fuels	are	formed by dead organisms over time
new land	can	can formed
system	is made of	bones
Galileo Galilei	make	better observations of bodies
steam	is	kind of water above 100 degrees
stars	will be harder as	light pollution increases
inherited characteristic	is	when passed to offspring by genetics
sun	is	source of energy for life on Earth
solution	is made of	one substance dissolved
rocks	are source of	shelter for animals
magnifying glass	see	small things
something	is	material then comes directly from source
plateau	is formed by	buildup of lava
tidal range	is measure of	vertical distance from tide to tide
seasons	change from	summer
tree	is source of	food in ecosystem
stage	is in	life cycle process
seed dispersal	is	when moved to environment
sound	is produced inside of	room
characteristic	is	when passed from parent to offspring
heat	change	remains of living things into natural gas
range	is measure of	distance
money	be	saved
nervous system	sends observations to	rest of body
stage	is in	life cycle process of animals
inherited characteristic	is	when passed from parent
grey clouds	are source of	precipitation
car	uses	less gasoline than regular car
forest environment	is often dark in	color
vehicle	passing inherited characteristics from parent to	offspring
solar energy	is	inexhaustible resource
characteristic	is	passed to offspring by DNA
humans	sometimes eat	seeds
inherited characteristic	is	when passed from parent by genetics
electrical devices	convert electricity into	forms of energy
shelter	is used for	protection by animals against weather
island	is formed by	lava cooling
example	is reducing	amount of pollutants
digestion	is	stomach acid breaks
light bulb	sending electricity through	filament
forest environment	is green in	color
oil	is	nonrenewable resource
crumple	means	change shape
loss	has	negative impact in area
something	absorbs	something else then
ability	has	positive impact on organism 's survival
animal	is near	road might killed by car
light	enters eye through	pupil
body	on	strength
car engine	converts gasoline into	motion
size	will decrease as	source
cold environments	are	usually white
water vapor	is	kind of water above 100 degrees
star	is source through	reactions
Galileo Galilei	make	better observations
stalactites	are formed by	deposition
chlorophyll	absorbing	light energy
stinger	is used for	defense
stars	appear	move across sky at night
June	is during	winter in hemisphere
down feathers	are	energy insulator
population	will increase as	resources increases
electrical devices	convert electricity into	forms
rain	is source of	water
example	is	kangaroo 's ability crawl
sound	can travel through	air
stars	appear at	times of year
evaporation	means	change from liquid into gas
climate	is kind of	weather in location
rings	will become as	amount of available water
weathering	usually occurs over	period of many years
skin	protecting body from	harmful substances
object	will appear as	distance from object
skinny beak	obtaining food by	bird from small spaces
respiratory system transfers	oxygen to	circulatory system
water	is in	gas state
coal mine	is source of	coal
tree-growth rings	will become	narrower
mass	is	measure of amount in object
rainbow	is formed by	refraction
sun	is source of	solar energy called
seasonal changes	are made in	response to changes in environment
sweat	adjusting to	hot temperatures
sun	is source of	solar energy
riverbank	is made of	soil
fins	move through	water
desert environment	is hot in	temperature
electrical conductor	is vehicle for	flow of electricity
harm	looking at	eclipse of Sun
types	have	role of producer
inherited characteristic	is copied from	parent
complete revolution	takes	one Earth year
protein	is	used to repair cells by body
something poisonous	is added to	environment
nature	is source of	natural resources
star	is made of	gases
slope	is measure of	difference in elevation
sugars	are transported from	leaves to roots of plant
single-cell organism	can survive without	help
star	is source of	light energy
incandescent light bulb	sending electricity through	filament
environment	is cold at	lattitude
plants	provide	food for consumers
jet streams	may deflect	air masses
animal	will fly more easily as	weight decreases
animals	live in	zoo
ones side	receive	energy from Sun than other side
sun	is	located
fertilizers	are source of	pollution
stem	store water by	plants
acid rain	has	negative impact on water quality
heat	change	remains of living things into gas
use	will decrease as	use of alternative fuels increases
water vapor	condensing in	clouds
water vapor	condenses over	night
mineral	is	then softer than that
stars	are away from	very far Earth
shower	is	source of water washing
island	is	formed by lava released
scavengers	eat	dead organisms
types	will increase as	ability
liquids	are	when heated above their point
excretory system	removes waste from	body
different crops	is	when planted on field in different years
example	is directing	boat
natural gas	is source of	heat
seismometer	measure	strength
inherited characteristic	is passed to	offspring
carnivores	eat	animals
sugars	are transported from	leaves to roots
rainbow	is formed by	refraction of light
seeds	stick to	fur of animal
decomposition	is	decomposer breaks down dead organisms
pupa stage	is stage in	metamorphosis process
desert environment	is low in	availability
bears	live in	cold environments
characteristic	is	when passed from parent to offspring
tidal range	is measure of	vertical distance from tide
birds	flying south in	winter
most canyons	flowing over	long periods
air	is vehicle for	sound
amount	will increase as	distance to city
example	is pouring	one substance
oven	is source of	heat
example	is	plants dying in winter
ones side	receive	less energy than other side
reading	will rise as	air pressure increases
stage	is in	life cycle process
bodies	increase	amount of water they
system	carries oxygen from	digestive systems to rest of body
ones side	receive	less energy from Sun than side
burning oil	is	source
ecological succession	means	entire communities in ecosystem change
body part	was	then exposed
circulatory system	carries oxygen from	systems to rest
forest environment	is	often dark
succession	means	entire communities in ecosystem change over time
system	sends observations in	form of electrical signals
heat	change	remains of prehistoric living things into gas
amount	will increase as	flatness
sound	can	can used for communication by animals
ocean	contains	large amounts of salt water
animal thick fur	keeping warm in	winter
lung	converts from	oxygen in air into oxygen in blood
lung	converts from	oxygen into oxygen
lightning	can cause	forest fire
erosion	being exposed to	heat
snowy	means	amount of snow
moon 's surface	contains	craters
incandescent light bulb	converts electricity into	heat
metal	is	nonrenewable
transpiration	usually happens in	leaves of plant
tree-growth rings	will become as	amount of water decreases
different crops	is	when planted on field in years
landfills	have	impact on environment
radiator	is source of	heat
evaporation	will increase as	surface area
things	live in	their habitat
organisms	live in	their habitat
kidney	removes byproducts from	blood
humans	eat	seeds
complete circuit	is source of	electrical energy
much heat	is transferred to	object
something	is	raw material comes directly from source
range	is measure of	distance from high tide to tide
rainfall	is amount of	rain
car engine	is source of	heat
oceans	cover	70 % of surface
example	is using	material more than once
light bulb	converts electricity into	light
cloudy	means	presence of clouds in sky
star	is source of	light
characteristic	is	when passed to offspring by genetics
recycling nonrenewable resources	has	positive impact on conservation
environment	is covered in	snow
Earth 's patterns	are	used
transpiration	usually happens in	leaves
object	has	speed increase in forward motion
illness	reducing bacteria in	food
Earth	occurs at_time	13 times per year
animal	will fly more as	weight
organisms	are	source of nutrients for decomposers
amount	will increase as	size of leaf
tidal range	is measure of	distance from tide to tide
stars	appear at	times
cavern	is formed by	carbonic acid
camouflage	can	can used for hunting for food
example	is footprint in	rock
sun	is source of	energy
characteristic	is	passed from parent to offspring
raw material	is in	process
winter	is during	summer in Southern Hemisphere
electricity	flows to	bulb
green plants	provide	food for consumers
green plants	convert into	oxygen
new land	can	can formed by volcanoes
star	is	source of energy through reactions
snow	falls during	winter
amount	is in	body of water increases
energy	required for	activity
water	is in	gas state called for temperatures
electricity	flows to	light bulb
something	is raw material in	process
wind	carries sand from	one place
source	will appear as	distance from source of increases
webbed feet	moving by	aquatic animals
size	will decrease as	source of moves directly overhead
sun	is source of	energy
humans	kill animals in	wild
system	digests	food
darkness	has	negative impact on photosynthesis
it	is	born
animals	move to	different locations
digestive system	digests food for	body
size	will decrease as	source of light moves overhead
inherited characteristic	is	passed from parent to offspring by genetics
amount	will decrease as	activity of animal
carbon dioxide concentrations	is in	air
animal	has role In	food chain process
entire communities	is in	ecosystem change over time
Himalayas	were formed by	rock
stars	appear at	different times
wood	is	electrical energy
container	will expand as	heat increases
light	enters eye through	pupil
June 21st	is in	northern hemisphere
runoff	contains pesticides from	cropland
tree	is source of	food for birds
tidal range	is measure of	vertical distance from high tide
stage	is in	water cycle process
shelter	is in	environment
sun	is source of	energy for cycles
something	is source of	heat
compass lines	is with	up Earth 's magnetic poles
frog	burying itself in	mud
environment	being covered in	snow
weight	will increase as	amount
beads	are formed by	water vapor
heat	change	remains of prehistoric things into gas
June	is during	summer in northern hemisphere
weathering	occurs over	period of years
object	will appear as	distance from object decreases
crops	is	planted on field in years
omnivores	eat	plants
beak	obtaining food by	bird from spaces
characteristic	is	passed from parent to offspring
animal growing fur	keeping warm in	winter
chemical splashing	occurs during	experiments
oceans	cover	70 % of surface of earth
hot substance	is source of	heat
flexible container	will expand as	heat increases
warm-weather organisms	live in	climates
amount	is least on	winter
number	is in	tree trunk
living things	live in	their habitat
Matter	is in	solid phase
atmosphere	is	made
solar eclipse	could happen during	moon
weathering	occurs over	period of many years
sun	is	source of energy on Earth
pull	increases as	distance from object
amount	will increase as	size
spider web	capture food by	spiders
skin	is largest organ in	human body
plastic	is	nonrenewable resource
characteristic	is	copied from parent to offspring by DNA
natural gas	is	source
electrical insulator	slows	transfer of electricity
range	is measure of	vertical distance from tide
iron nails	are made of	iron
octopuses	releasing ink into	water
resources	has	positive impact on environment
Grand Canyon	was formed by	Colorado River
exothermic reaction	increases	amount of heat
skin	is organ in	body
matter	is in	liquid state
amount	will increase as	distance
amount	will increase as	flatness increases
Moon	completes cycle over	period
loss	has	negative impact
fur	keeping warm in	winter
December	is during	winter in northern hemisphere
hemisphere	is tilted away from	sun
beak	obtaining food by	bird from small spaces
animals	avoid	bad odors
Galileo Galilei	made	improvements
something	is	material then comes from source
animal	usually requires	body temperature for survival
camouflage	can	can used for hunting for prey
water levels	will increase as	amount
ears	releasing heat by	jackrabbit
feeders	attract animals to	location
canyons	flowing over	long periods
amount	will decrease as	available water in environment
moon 's surface	contains	areas
rocks	are source of	shelter
it	is	when burned
mantle	is located below	Earth 's crust
extreme heat	is in	swamp over long period of time
adulthood	is stage in	life cycle process
water vapor	is kind of	water
kangaroo	has	ability crawl into pouch drink
green plants	convert into	oxygen for themselves
crumple	means	change shape from smooth
solution	is made of	one substance
matter	is made of	molecules
vanes	rotating in	electric fan
freezing	changing from	liquid into solid
light bulb	converts energy into	light energy
minerals	are formed by	natural geological processes
chemical splashing	can cause	harm to eyes
kind	reducing	pollutants emitted by factories
humidity	is amount of	water vapor
rain	has	impact on water quality
vehicle	passing	characteristics from parent
June 21st	is in	southern hemisphere
natural gas	is	resource
stars	appear at	different times of year
mineral	is softer than	that one mineral
ecological succession	means	communities in ecosystem change over time
tide	is stage in	tide cycle process
changes	peat through	extreme heat in swamp over period of time
inherited characteristic	is	copied to offspring by DNA
object	reflects	light toward eye
heat	is transferred from	something to something else
populations	will increase as	available water in environment
something	is	raw material then comes from source
ocean	is source of	heat
organism	can survive without	help of other cells
example	creating	alternative fuel
size	will decrease as	source of moves overhead
body part	was exposed to	lot
ecological succession	means	entire communities in ecosystem change over time
animal	will fly more as	weight of animal decreases
digestive system	digests	food
liquid	is	hot
pollutants	emitted by	factories
organism	is source of	organic matter
insects	can have	negative impact
water	nutrients to	parts of plant
humans	can move in	water
something	is same color as	its environment
example	is	paw print in rock
gills	are	used for breathing water by aquatic animals
December 21st	is in	northern hemisphere
water	is in	state called
Earth	rotates on	its axis
coral	usually lives in	water
footprint	is in	rock
plant	'	roots
populations	will increase as	water in environment
vehicle	passing characteristics from parent to	offspring
amount	will decrease as	temperature decreases
water	is in	state for temperatures
animal	will fly easily as	weight
producer	is	source
feet	moving faster by	animals
heat	is transferred from	something
populations	will increase as	water in environment increases
amount	is in	soil
skeletal system	is made of	bones
vehicle	transporting water from	roots rest
humans	causes	harm to those animals
fuels	are	formed by organisms over time
forest environment	is dark in	color
animal	might	might killed by car
density	is	measure of mass over volume
sun	is source of	energy
speed	is measure of	object
tree	planting	new tree
mountains	are formed by	volcanoes
winter	is in	Northern Hemisphere
evaporation	is stage in	water cycle process
river	flow in	particular direction
photosynthesis	converting carbon dioxide into	carbohydrates
birds	is with	beaks of different shapes
sun	is	source of energy on Earth
volcanoes	are found under	oceans
object is moving	can cause	that object 's speed increase
characteristic	is	when copied from parent to offspring by DNA
amount	is in	area
producer	is kind of	role in food chain
organism	is source of	organic material
friction	counter	motion of two objects
glacier	causes	mechanical weathering
landfills	have	negative impact on communities
characteristic	is	when passed from parent
stars	appear in	different areas
inherited characteristic	is	when copied from parent to offspring by DNA
ones side	receive	less energy from Sun than other side
conserving water	can	can used for survival
animals	feed near	their habitats
shale	can	can metamorphosed by pressure
friction	will increase as	moisture of object decreases
something	is	raw material then comes
recycling nonrenewable resources	has	positive impact
most canyons	flowing	rivers
characteristic	is	when passed to offspring
cold environments	are white in	color
island	is formed over	time
ability	has	impact on organism 's survival
changes	peat through	extreme heat in swamp over long period
tree-growth ring	occurs per	year
matter	assumes	shape of its entire container
one year	is equal at_time	days
sandbar	is formed by	water moving
decomposer	recycles	nutrients from organisms
something	is	when color as its environment
natural magnetism	is	used
something	is	outside
seed dispersal	is	when moved from plant to environment
changes	is in	environment cause plants
Earth 's tilt	causes	seasons
Sun	is star	closest to Earth
toaster	converts energy into	heat energy
most predators	live in	environment
electrocution	causes	harm to organism
sun	is	source
wind	is	inexhaustible resource
melting means	changing from	solid
new season	occurs per	once three months
clouds	is in	sky
rocks	often contain	amounts of metal
survival	is in	dry environment
growing ring	occurs per	year
inherited characteristic	is	when passed from parent to offspring
something	is	material then required
green plant	has role In	food chain process
available water	is in	environment
thermal insulator	slows	transfer of heat
complete revolution	takes	one year
Moon	appearance of	Moon
amount	will decrease as	temperature
one year	is	equal
temperature	is measure of	heat energy
cold environments	being covered in	snow
shelter	is used for	protection by animals
refraction	is	when bends
August	is during	winter in southern hemisphere
birds	build nests in	spring
gas	is	nonrenewable
seed	storing food for	plant
speed	is measure of	fast object
